EntrezGene.ID,HGNC.symbol,MGI.symbol,MGI.ID
176,ACAN,Acan,MGI:99602
9744,ACAP1,Acap1,MGI:2388270
23527,ACAP2,Acap2,MGI:1925868
116983,ACAP3,Acap3,MGI:2153589
38,ACAT1,Acat1,MGI:87870
39,ACAT2,Acat3,MGI:109182
64746,ACBD3,Acbd3,MGI:2181074
79777,ACBD4,Acbd4,MGI:1914381
91452,ACBD5,Acbd5,MGI:1921409
84320,ACBD6,Acbd6,MGI:1919732
414149,ACBD7,Acbd7,MGI:1925495
84680,ACCS,Accs,MGI:1919717
390110,ACCSL,Accsl,MGI:3584519
65057,ACD,Acd,MGI:87873
1636,ACE,Ace,MGI:87874
59272,ACE2,Ace2,MGI:1917258
125981,ACER1,Acer1,MGI:2181962
340485,ACER2,Acer2,MGI:1920932
55331,ACER3,Acer3,MGI:1913440
43,ACHE,Ache,MGI:87876
22985,ACIN1,Acin1,MGI:1891824
2532,ACKR1,Ackr1,MGI:1097689
1238,ACKR2,Ackr2,MGI:1891697
57007,ACKR3,Ackr3,MGI:109562
51554,ACKR4,Ackr4,MGI:2181676
47,ACLY,Acly,MGI:103251
130013,ACMSD,Acmsd,MGI:2386323
48,ACO1,Aco1,MGI:87879
50,ACO2,Aco2,MGI:87880
730249,ACOD1,Acod1,MGI:103206
641371,ACOT1,Acot1,MGI:1349396
26027,ACOT11,Acot11,MGI:1913736
134526,ACOT12,Acot12,MGI:1921406
55856,ACOT13,Acot13,MGI:1914084
10965,ACOT2,Acot2,MGI:2159605
10965,ACOT2,Acot3,MGI:2159619
122970,ACOT4,Acot4,MGI:2159621
641372,ACOT6,Acot6,MGI:1921287
11332,ACOT7,Acot7,MGI:1917275
10005,ACOT8,Acot8,MGI:2158201
23597,ACOT9,Acot10,MGI:1928940
23597,ACOT9,Acot9,MGI:1928939
51,ACOX1,Acox1,MGI:1330812
8309,ACOX2,Acox2,MGI:1934852
8310,ACOX3,Acox3,MGI:1933156
55289,ACOXL,Acoxl,MGI:1921371
52,ACP1,Acp1,MGI:87881
53,ACP2,Acp2,MGI:87882
55,ACP3,Acpp,MGI:1928480
93650,ACP4,Acp4,MGI:3644563
54,ACP5,Acp5,MGI:87883
51205,ACP6,Acp6,MGI:1931010
390928,ACP7,Acp7,MGI:2142121
49,ACR,Acr,MGI:87884
84519,ACRBP,Acrbp,MGI:1859515
56,ACRV1,Acrv1,MGI:104590
23205,ACSBG1,Acsbg1,MGI:2385656
81616,ACSBG2,Acsbg2,MGI:3587728
80221,ACSF2,Acsf2,MGI:2388287
197322,ACSF3,Acsf3,MGI:2182591
2180,ACSL1,Acsl1,MGI:102797
2181,ACSL3,Acsl3,MGI:1921455
2182,ACSL4,Acsl4,MGI:1354713
51703,ACSL5,Acsl5,MGI:1919129
23305,ACSL6,Acsl6,MGI:894291
116285,ACSM1,Acsm1,MGI:2152200
123876,ACSM2A,Acsm2,MGI:2385289
348158,ACSM2B,Acsm2,MGI:2385289
6296,ACSM3,Acsm3,MGI:99538
341392,ACSM4,Acsm4,MGI:2681844
54988,ACSM5,Acsm5,MGI:2444086
84532,ACSS1,Acss1,MGI:1915988
55902,ACSS2,Acss2,MGI:1890410
79611,ACSS3,Acss3,MGI:2685720
58,ACTA1,Acta1,MGI:87902
59,ACTA2,Acta2,MGI:87909
60,ACTB,Actb,MGI:87904
345651,ACTBL2,Actbl2,MGI:2444552
70,ACTC1,Actc1,MGI:87905
71,ACTG1,Actg1,MGI:87906
72,ACTG2,Actg2,MGI:104589
170487,ACTL10,Actl10,MGI:1917612
86,ACTL6A,Actl6a,MGI:1861453
51412,ACTL6B,Actl6b,MGI:1933548
10881,ACTL7A,Actl7a,MGI:1343051
10880,ACTL7B,Actl7b,MGI:1343053
284382,ACTL9,Actl9,MGI:1916731
87,ACTN1,Actn1,MGI:2137706
88,ACTN2,Actn2,MGI:109192
89,ACTN3,Actn3,MGI:99678
81,ACTN4,Actn4,MGI:1890773
55860,ACTR10,Actr10,MGI:1891654
10121,ACTR1A,Actr1a,MGI:1858964
10120,ACTR1B,Actr1b,MGI:1917446
10097,ACTR2,Actr2,MGI:1913963
10096,ACTR3,Actr3,MGI:1921367
57180,ACTR3B,Actr3b,MGI:2661120
79913,ACTR5,Actr5,MGI:1924748
64431,ACTR6,Actr6,MGI:1914269
93973,ACTR8,Actr8,MGI:1860775
139741,ACTRT1,Actrt1,MGI:1920610
140625,ACTRT2,Actrt2,MGI:1920603
84517,ACTRT3,Actrt3,MGI:1923902
90,ACVR1,Acvr1,MGI:87911
91,ACVR1B,Acvr1b,MGI:1338944
130399,ACVR1C,Acvr1c,MGI:2661081
92,ACVR2A,Acvr2a,MGI:102806
93,ACVR2B,Acvr2b,MGI:87912
94,ACVRL1,Acvrl1,MGI:1338946
95,ACY1,Acy1,MGI:87913
91703,ACY3,Acy3,MGI:1918920
97,ACYP1,Acyp1,MGI:1913454
98,ACYP2,Acyp2,MGI:1922822
100,ADA,Ada,MGI:87916
132612,ADAD1,Adad1,MGI:103258
161931,ADAD2,Adad2,MGI:1923023
161823,ADAL,Adal,MGI:1923144
102,ADAM10,Adam10,MGI:109548
4185,ADAM11,Adam11,MGI:1098667
8038,ADAM12,Adam12,MGI:105378
8751,ADAM15,Adam15,MGI:1333882
6868,ADAM17,Adam17,MGI:1096335
8749,ADAM18,Adam18,MGI:105986
8728,ADAM19,Adam19,MGI:105377
2515,ADAM2,Adam2,MGI:1340894
8748,ADAM20,Adam20,MGI:2152342
8748,ADAM20,Adam25,MGI:1345157
8748,ADAM20,Adam39,MGI:3045694
8747,ADAM21,Adam21,MGI:1861229
53616,ADAM22,Adam22,MGI:1340046
8745,ADAM23,Adam23,MGI:1345162
10863,ADAM28,Adam28,MGI:105988
11086,ADAM29,Adam29,MGI:2676326
11085,ADAM30,Adam30,MGI:1918328
203102,ADAM32,Adam32,MGI:2653822
80332,ADAM33,Adam33,MGI:1341813
8756,ADAM7,Adam7,MGI:107247
101,ADAM8,Adam8,MGI:107825
8754,ADAM9,Adam9,MGI:105376
27299,ADAMDEC1,Adamdec1,MGI:1917650
9510,ADAMTS1,Adamts1,MGI:109249
81794,ADAMTS10,Adamts10,MGI:2449112
81792,ADAMTS12,Adamts12,MGI:2146046
11093,ADAMTS13,Adamts13,MGI:2685556
140766,ADAMTS14,Adamts14,MGI:2179942
170689,ADAMTS15,Adamts15,MGI:2449569
170690,ADAMTS16,Adamts16,MGI:2429637
170691,ADAMTS17,Adamts17,MGI:3588195
170692,ADAMTS18,Adamts18,MGI:2442600
171019,ADAMTS19,Adamts19,MGI:2442875
9509,ADAMTS2,Adamts2,MGI:1347356
80070,ADAMTS20,Adamts20,MGI:2660628
9508,ADAMTS3,Adamts3,MGI:3045353
9507,ADAMTS4,Adamts4,MGI:1339949
11096,ADAMTS5,Adamts5,MGI:1346321
11174,ADAMTS6,Adamts6,MGI:1347348
11173,ADAMTS7,Adamts7,MGI:1347346
11095,ADAMTS8,Adamts8,MGI:1353468
56999,ADAMTS9,Adamts9,MGI:1916320
92949,ADAMTSL1,Adamtsl1,MGI:1924989
9719,ADAMTSL2,Adamtsl2,MGI:1925044
57188,ADAMTSL3,Adamtsl3,MGI:3028499
54507,ADAMTSL4,Adamtsl4,MGI:2389008
339366,ADAMTSL5,Adamtsl5,MGI:1913798
11033,ADAP1,Adap1,MGI:2442201
55803,ADAP2,Adap2,MGI:2663075
103,ADAR,Adar,MGI:1889575
104,ADARB1,Adarb1,MGI:891999
105,ADARB2,Adarb2,MGI:2151118
23536,ADAT1,Adat1,MGI:1353631
134637,ADAT2,Adat2,MGI:1914007
113179,ADAT3,Adat3,MGI:1924344
57143,ADCK1,Adck1,MGI:1919363
90956,ADCK2,Adck2,MGI:1889336
203054,ADCK5,Adck5,MGI:2679274
107,ADCY1,Adcy1,MGI:99677
55811,ADCY10,Adcy10,MGI:2660854
108,ADCY2,Adcy2,MGI:99676
109,ADCY3,Adcy3,MGI:99675
196883,ADCY4,Adcy4,MGI:99674
111,ADCY5,Adcy5,MGI:99673
112,ADCY6,Adcy6,MGI:87917
113,ADCY7,Adcy7,MGI:102891
114,ADCY8,Adcy8,MGI:1341110
115,ADCY9,Adcy9,MGI:108450
116,ADCYAP1,Adcyap1,MGI:105094
117,ADCYAP1R1,Adcyap1r1,MGI:108449
118,ADD1,Add1,MGI:87918
119,ADD2,Add2,MGI:87919
120,ADD3,Add3,MGI:1351615
79747,ADGB,Adgb,MGI:3605549
84435,ADGRA1,Adgra1,MGI:1277167
25960,ADGRA2,Adgra2,MGI:1925810
166647,ADGRA3,Adgra3,MGI:1917943
575,ADGRB1,Adgrb1,MGI:1933736
576,ADGRB2,Adgrb2,MGI:2451244
577,ADGRB3,Adgrb3,MGI:2441837
283383,ADGRD1,Adgrd1,MGI:3041203
2015,ADGRE1,Adgre1,MGI:106912
30817,ADGRE2,Adgre5,MGI:1347095
84658,ADGRE3,Adgre4,MGI:1196464
326342,ADGRE4P,Adgre4,MGI:1196464
976,ADGRE5,Adgre5,MGI:1347095
266977,ADGRF1,Adgrf1,MGI:1924846
222611,ADGRF2,Adgrf2,MGI:2182728
165082,ADGRF3,Adgrf3,MGI:2685887
221393,ADGRF4,Adgrf4,MGI:1925499
221395,ADGRF5,Adgrf5,MGI:2182928
9289,ADGRG1,Adgrg1,MGI:1340051
10149,ADGRG2,Adgrg2,MGI:2446854
222487,ADGRG3,Adgrg3,MGI:1859670
139378,ADGRG4,Adgrg4,MGI:2685213
221188,ADGRG5,Adgrg5,MGI:2685955
57211,ADGRG6,Adgrg6,MGI:1916151
84873,ADGRG7,Adgrg7,MGI:2441732
22859,ADGRL1,Adgrl1,MGI:1929461
23266,ADGRL2,Adgrl2,MGI:2139714
23284,ADGRL3,Adgrl3,MGI:2441950
64123,ADGRL4,Adgrl4,MGI:2655562
84059,ADGRV1,Adgrv1,MGI:1274784
124,ADH1A,Adh1,MGI:87921
125,ADH1B,Adh1,MGI:87921
126,ADH1C,Adh1,MGI:87921
127,ADH4,Adh4,MGI:1349472
128,ADH5,Adh5,MGI:87929
131,ADH7,Adh7,MGI:87926
137872,ADHFE1,Adhfe1,MGI:1923437
55256,ADI1,Adi1,MGI:2144929
149685,ADIG,Adig,MGI:2675492
9370,ADIPOQ,Adipoq,MGI:106675
51094,ADIPOR1,Adipor1,MGI:1919924
79602,ADIPOR2,Adipor2,MGI:93830
132,ADK,Adk,MGI:87930
133,ADM,Adm,MGI:108058
79924,ADM2,Adm2,MGI:2675256
23394,ADNP,Adnp,MGI:1338758
22850,ADNP2,Adnp2,MGI:2448562
84890,ADO,Ado,MGI:2685083
134,ADORA1,Adora1,MGI:99401
135,ADORA2A,Adora2a,MGI:99402
136,ADORA2B,Adora2b,MGI:99403
140,ADORA3,Adora3,MGI:104847
83440,ADPGK,Adpgk,MGI:1919391
141,ADPRH,Adprh,MGI:1098234
113622,ADPRHL1,Adprhl1,MGI:2442168
56985,ADPRM,Adprm,MGI:1913608
54936,ADPRS,Adprs,MGI:2140364
148,ADRA1A,Adra1a,MGI:104773
147,ADRA1B,Adra1b,MGI:104774
146,ADRA1D,Adra1d,MGI:106673
150,ADRA2A,Adra2a,MGI:87934
151,ADRA2B,Adra2b,MGI:87935
152,ADRA2C,Adra2c,MGI:87936
153,ADRB1,Adrb1,MGI:87937
154,ADRB2,Adrb2,MGI:87938
155,ADRB3,Adrb3,MGI:87939
11047,ADRM1,Adrm1,MGI:1929289
158,ADSL,Adsl,MGI:103202
122622,ADSS1,Adssl1,MGI:87947
159,ADSS2,Adss,MGI:87948
84830,ADTRP,Adtrp,MGI:1924596
165,AEBP1,Aebp1,MGI:1197012
121536,AEBP2,Aebp2,MGI:1338038
64782,AEN,Aen,MGI:1915298
60312,AFAP1,Afap1,MGI:1917542
134265,AFAP1L1,Afap1l1,MGI:2147199
84632,AFAP1L2,Afap1l2,MGI:2147658
4301,AFDN,Afdn,MGI:1314653
4299,AFF1,Aff1,MGI:1100819
2334,AFF2,Aff2,MGI:1202294
3899,AFF3,Aff3,MGI:106927
27125,AFF4,Aff4,MGI:2136171
246269,AFG1L,Afg1l,MGI:2148801
10939,AFG3L2,Afg3l2,MGI:1916847
173,AFM,Afm,MGI:2429409
125061,AFMID,Afmid,MGI:2448704
174,AFP,Afp,MGI:87951
54812,AFTPH,Aftph,MGI:1923012
175,AGA,Aga,MGI:104873
116987,AGAP1,Agap1,MGI:2653690
116986,AGAP2,Agap2,MGI:3580016
116988,AGAP3,Agap3,MGI:2183446
119016,AGAP4,Agap1,MGI:2653690
729092,AGAP5,Agap1,MGI:2653690
414189,AGAP6,Agap1,MGI:2653690
642517,AGAP9,Agap1,MGI:2653690
123624,AGBL1,Agbl1,MGI:3646469
79841,AGBL2,Agbl2,MGI:2443254
340351,AGBL3,Agbl3,MGI:1923473
84871,AGBL4,Agbl4,MGI:1918244
60509,AGBL5,Agbl5,MGI:2441745
177,AGER,Ager,MGI:893592
3267,AGFG1,Agfg1,MGI:1333754
3268,AGFG2,Agfg2,MGI:2443267
55109,AGGF1,Aggf1,MGI:1913799
55750,AGK,Agk,MGI:1917173
178,AGL,Agl,MGI:1924809
79814,AGMAT,Agmat,MGI:1923236
392636,AGMO,Agmo,MGI:2442495
26523,AGO1,Ago1,MGI:2446630
27161,AGO2,Ago2,MGI:2446632
192669,AGO3,Ago3,MGI:2446634
192670,AGO4,Ago4,MGI:1924100
10554,AGPAT1,Agpat1,MGI:1932075
10555,AGPAT2,Agpat2,MGI:1914762
56894,AGPAT3,Agpat3,MGI:1336186
56895,AGPAT4,Agpat4,MGI:1915512
55326,AGPAT5,Agpat5,MGI:1196345
8540,AGPS,Agps,MGI:2443065
10551,AGR2,Agr2,MGI:1344405
155465,AGR3,Agr3,MGI:2685734
375790,AGRN,Agrn,MGI:87961
181,AGRP,Agrp,MGI:892013
183,AGT,Agt,MGI:87963
23287,AGTPBP1,Agtpbp1,MGI:2159437
185,AGTR1,Agtr1a,MGI:87964
186,AGTR2,Agtr2,MGI:87966
57085,AGTRAP,Agtrap,MGI:1339977
189,AGXT,Agxt,MGI:1329033
64902,AGXT2,Agxt2,MGI:2146052
25909,AHCTF1,Ahctf1,MGI:1915033
191,AHCY,Ahcy,MGI:87968
10768,AHCYL1,Ahcyl1,MGI:2385184
23382,AHCYL2,Ahcyl2,MGI:1921590
27245,AHDC1,Ahdc1,MGI:2444218
54806,AHI1,Ahi1,MGI:87971
79026,AHNAK,Ahnak,MGI:1316648
113146,AHNAK2,Ahnak2,MGI:2144831
196,AHR,Ahr,MGI:105043
57491,AHRR,Ahrr,MGI:1333776
10598,AHSA1,Ahsa1,MGI:2387603
130872,AHSA2P,Ahsa2,MGI:1916133
197,AHSG,Ahsg,MGI:107189
51327,AHSP,Ahsp,MGI:2158492
57379,AICDA,Aicda,MGI:1342279
64853,AIDA,Aida,MGI:1919737
199,AIF1,Aif1,MGI:1343098
83543,AIF1L,Aif1l,MGI:1919598
9131,AIFM1,Aifm1,MGI:1349419
84883,AIFM2,Aifm2,MGI:1918611
150209,AIFM3,Aifm3,MGI:1919418
51390,AIG1,Aig1,MGI:1913503
9447,AIM2,Aim2,MGI:2686159
9255,AIMP1,Aimp1,MGI:102774
7965,AIMP2,Aimp2,MGI:2385237
9049,AIP,Aip,MGI:109622
23746,AIPL1,Aipl1,MGI:2148800
326,AIRE,Aire,MGI:1338803
55966,AJAP1,Ajap1,MGI:2685419
389813,AJM1,Ajm1,MGI:2685842
84962,AJUBA,Ajuba,MGI:1341886
203,AK1,Ak1,MGI:87977
204,AK2,Ak2,MGI:87978
50808,AK3,Ak3,MGI:1860835
205,AK4,Ak4,MGI:87979
26289,AK5,Ak5,MGI:2677491
102157402,AK6,Ak6,MGI:5510732
122481,AK7,Ak7,MGI:1926051
158067,AK8,Ak8,MGI:1916120
221264,AK9,Ak9,MGI:2685080
642597,AKAIN1,Akain1,MGI:2444600
8165,AKAP1,Akap1,MGI:104729
11216,AKAP10,Akap10,MGI:1890218
11215,AKAP11,Akap11,MGI:2684060
9590,AKAP12,Akap12,MGI:1932576
11214,AKAP13,Akap13,MGI:2676556
158798,AKAP14,Akap14,MGI:3618288
10566,AKAP3,Akap3,MGI:1341149
8852,AKAP4,Akap4,MGI:102794
9495,AKAP5,Akap5,MGI:2685104
9472,AKAP6,Akap6,MGI:3050566
9465,AKAP7,Akap7,MGI:1859150
10270,AKAP8,Akap8,MGI:1928488
26993,AKAP8L,Akap8l,MGI:1860606
10142,AKAP9,Akap9,MGI:2178217
56672,AKIP1,Akip1,MGI:3041226
79647,AKIRIN1,Akirin1,MGI:1915300
55122,AKIRIN2,Akirin2,MGI:1889364
80709,AKNA,Akna,MGI:2140340
254268,AKNAD1,Aknad1,MGI:3584453
10327,AKR1A1,Akr1a1,MGI:1929955
231,AKR1B1,Akr1b3,MGI:1353494
57016,AKR1B10,Akr1b8,MGI:107673
441282,AKR1B15,Akr1b8,MGI:107673
1645,AKR1C1,Akr1c20,MGI:2151104
1646,AKR1C2,Akr1c20,MGI:2151104
1646,AKR1C2,Akr1c21,MGI:1924587
1646,AKR1C2,Akr1c6,MGI:1933427
1646,AKR1C2,Akr1cl,MGI:1918111
8644,AKR1C3,Akr1c18,MGI:2145420
8644,AKR1C3,Akr1cl,MGI:1918111
1109,AKR1C4,Akr1c20,MGI:2151104
1109,AKR1C4,Akr1c6,MGI:1933427
6718,AKR1D1,Akr1d1,MGI:2384785
83592,AKR1E2,Akr1e1,MGI:1914758
8574,AKR7A2,Akr7a5,MGI:107796
22977,AKR7A3,Akr7a5,MGI:107796
207,AKT1,Akt1,MGI:87986
84335,AKT1S1,Akt1s1,MGI:1914855
208,AKT2,Akt2,MGI:104874
10000,AKT3,Akt3,MGI:1345147
64400,AKTIP,Aktip,MGI:3693832
210,ALAD,Alad,MGI:96853
211,ALAS1,Alas1,MGI:87989
212,ALAS2,Alas2,MGI:87990
213,ALB,Alb,MGI:87991
214,ALCAM,Alcam,MGI:1313266
126133,ALDH16A1,Aldh16a1,MGI:1916998
5832,ALDH18A1,Aldh18a1,MGI:1888908
216,ALDH1A1,Aldh1a1,MGI:1353450
8854,ALDH1A2,Aldh1a2,MGI:107928
220,ALDH1A3,Aldh1a3,MGI:1861722
219,ALDH1B1,Aldh1b1,MGI:1919785
10840,ALDH1L1,Aldh1l1,MGI:1340024
160428,ALDH1L2,Aldh1l2,MGI:2444680
217,ALDH2,Aldh2,MGI:99600
218,ALDH3A1,Aldh3a1,MGI:1353451
224,ALDH3A2,Aldh3a2,MGI:1353452
221,ALDH3B1,Aldh3b1,MGI:1914939
222,ALDH3B2,Aldh3b3,MGI:1920708
8659,ALDH4A1,Aldh4a1,MGI:2443883
7915,ALDH5A1,Aldh5a1,MGI:2441982
4329,ALDH6A1,Aldh6a1,MGI:1915077
501,ALDH7A1,Aldh7a1,MGI:108186
64577,ALDH8A1,Aldh8a1,MGI:2653900
223,ALDH9A1,Aldh9a1,MGI:1861622
226,ALDOA,Aldoa,MGI:87994
229,ALDOB,Aldob,MGI:87995
230,ALDOC,Aldoc,MGI:101863
56052,ALG1,Alg1,MGI:2384774
84920,ALG10,Alg10b,MGI:2146159
144245,ALG10B,Alg10b,MGI:2146159
440138,ALG11,Alg11,MGI:2142632
79087,ALG12,Alg12,MGI:2385025
79868,ALG13,Alg13,MGI:1914824
199857,ALG14,Alg14,MGI:1914039
644974,ALG1L2,Alg1,MGI:2384774
85365,ALG2,Alg2,MGI:1914731
10195,ALG3,Alg3,MGI:1098592
29880,ALG5,Alg5,MGI:1913498
29929,ALG6,Alg6,MGI:2444031
79053,ALG8,Alg8,MGI:2141959
79796,ALG9,Alg9,MGI:1924753
238,ALK,Alk,MGI:103305
389658,ALKAL1,Alkal1,MGI:3645495
285016,ALKAL2,Alkal2,MGI:3697448
8846,ALKBH1,Alkbh1,MGI:2384034
121642,ALKBH2,Alkbh2,MGI:2141032
221120,ALKBH3,Alkbh3,MGI:1916363
54784,ALKBH4,Alkbh4,MGI:1919291
54890,ALKBH5,Alkbh5,MGI:2144489
84964,ALKBH6,Alkbh6,MGI:2142037
84266,ALKBH7,Alkbh7,MGI:1913650
91801,ALKBH8,Alkbh8,MGI:1914917
55821,ALLC,Allc,MGI:2136971
7840,ALMS1,Alms1,MGI:1934606
239,ALOX12,Alox12,MGI:87998
242,ALOX12B,Alox12b,MGI:1274782
246,ALOX15,Alox15,MGI:87997
247,ALOX15B,Alox8,MGI:1098228
240,ALOX5,Alox5,MGI:87999
241,ALOX5AP,Alox5ap,MGI:107505
59344,ALOXE3,Aloxe3,MGI:1345140
251,ALPG,Akp3,MGI:87984
251,ALPG,Alppl2,MGI:108009
248,ALPI,Akp3,MGI:87984
80216,ALPK1,Alpk1,MGI:1918731
115701,ALPK2,Alpk2,MGI:2449492
57538,ALPK3,Alpk3,MGI:2151224
249,ALPL,Alpl,MGI:87983
250,ALPP,Akp3,MGI:87984
250,ALPP,Alpi,MGI:1924018
57679,ALS2,Als2,MGI:1921268
259173,ALS2CL,Als2cl,MGI:2447532
8092,ALX1,Alx1,MGI:104621
257,ALX3,Alx3,MGI:1277097
60529,ALX4,Alx4,MGI:108359
10189,ALYREF,Alyref,MGI:1341044
23600,AMACR,Amacr,MGI:1098273
258,AMBN,Ambn,MGI:104655
259,AMBP,Ambp,MGI:88002
55626,AMBRA1,Ambra1,MGI:2443564
262,AMD1,Amd1,MGI:88004
144193,AMDHD1,Amdhd1,MGI:1919011
51005,AMDHD2,Amdhd2,MGI:2443978
265,AMELX,Amelx,MGI:88005
266,AMELY,Amelx,MGI:88005
139285,AMER1,Amer1,MGI:1919595
219287,AMER2,Amer2,MGI:1919375
205147,AMER3,Amer3,MGI:3026939
267,AMFR,Amfr,MGI:1345634
268,AMH,Amh,MGI:88006
269,AMHR2,Amhr2,MGI:105062
57463,AMIGO1,Amigo1,MGI:2653612
347902,AMIGO2,Amigo2,MGI:2145995
386724,AMIGO3,Amigo3,MGI:2444854
9949,AMMECR1,Ammecr1,MGI:1860206
83607,AMMECR1L,Ammecr1l,MGI:2442711
